term,stem,count,sample_size,ratio
"immigration","immigr",2003,2000,1.0015
"eu","eu",410,2000,0.205
"brexit","brexit",346,2000,0.173
"uk","uk",283,2000,0.1415
"britain","britain",179,2000,0.0895
"minister","minist",133,2000,0.0665
"european","european",132,2000,0.066
"british","british",109,2000,0.0545
"economy","economi",94,2000,0.047
"economic","econom",91,2000,0.0455
"migration","migrat",84,2000,0.042
"anti-immigration","anti-immigr",83,2000,0.0415
"europe","europ",79,2000,0.0395
"trump","trump",75,2000,0.0375
"campaign","campaign",74,2000,0.037
"referendum","referendum",67,2000,0.0335
"theresa","theresa",65,2000,0.0325
"election","elect",60,2000,0.03
"nationals","nation",56,2000,0.028
"borders","border",48,2000,0.024
"conservatives","conserv",44,2000,0.022
"customs","custom",44,2000,0.022
"tory","tori",43,2000,0.0215
"may's","may",42,2000,0.021
"ukip","ukip",42,2000,0.021
"post-brexit","post-brexit",41,2000,0.0205
"migrants","migrant",39,2000,0.0195
"curbs","curb",36,2000,0.018
"freedom","freedom",35,2000,0.0175
"david","david",34,2000,0.017
"london","london",33,2000,0.0165
"leader","leader",32,2000,0.016
"government's","govern",31,2000,0.0155
"corbyn","corbyn",31,2000,0.0155
"students","student",31,2000,0.0155
"illegal","illeg",30,2000,0.015
"pen","pen",30,2000,0.015
"le","le",30,2000,0.015
"sectors","sector",28,2000,0.014
"ireland","ireland",28,2000,0.014
"supporters","support",27,2000,0.0135
"tens","ten",27,2000,0.0135
"globalization","global",26,2000,0.013
"targets","target",25,2000,0.0125
"lewis","lewi",25,2000,0.0125
"bloc","bloc",24,2000,0.012
"pledge","pledg",23,2000,0.0115
"nhs","nhs",23,2000,0.0115
"deliver","deliv",23,2000,0.0115
"parliament","parliament",23,2000,0.0115
"visa","visa",22,2000,0.011
"asylum","asylum",22,2000,0.011
"leaked","leak",22,2000,0.011
"muslim","muslim",22,2000,0.011
"restrict","restrict",22,2000,0.011
"hammond","hammond",22,2000,0.011
"populist","populist",22,2000,0.011
"rudd","rudd",22,2000,0.011
"americans","american",22,2000,0.011
"brandon","brandon",21,2000,0.0105
"france","franc",21,2000,0.0105
"refugees","refuge",21,2000,0.0105
"merkel","merkel",21,2000,0.0105
"brussels","brussel",21,2000,0.0105
"manifesto","manifesto",21,2000,0.0105
"polls","poll",21,2000,0.0105
"farage","farag",21,2000,0.0105
"education","educ",20,2000,0.01
"united","unit",20,2000,0.01
"democratic","democrat",20,2000,0.01
"donald","donald",18,2000,0.009
"philip","philip",18,2000,0.009
"favour","favour",18,2000,0.009
"germany","germani",18,2000,0.009
"islam","islam",18,2000,0.009
"far-right","far-right",18,2000,0.009
"crisis","crisi",18,2000,0.009
"employers","employ",17,2000,0.0085
"jeremy","jeremi",17,2000,0.0085
"mps","mps",17,2000,0.0085
"agriculture","agricultur",17,2000,0.0085
"ban","ban",17,2000,0.0085
"checks","check",17,2000,0.0085
"wilders","wilder",17,2000,0.0085
"terrorism","terror",17,2000,0.0085
"negotiating","negoti",16,2000,0.008
"independent","independ",16,2000,0.008
"french","french",16,2000,0.008
"cameron","cameron",16,2000,0.008
"chancellor","chancellor",16,2000,0.008
"northern","northern",16,2000,0.008
"amber","amber",16,2000,0.008
"davis","davi",16,2000,0.008
"tax","tax",16,2000,0.008
"scotland","scotland",15,2000,0.0075
"ensure","ensur",15,2000,0.0075
"cabinet","cabinet",15,2000,0.0075
"options","option",15,2000,0.0075
"dutch","dutch",15,2000,0.0075
"rhetoric","rhetor",15,2000,0.0075
"priority","prioriti",15,2000,0.0075
"impose","impos",15,2000,0.0075
"scottish","scottish",15,2000,0.0075
"focused","focus",15,2000,0.0075
"reuters","reuter",14,2000,0.007
"talks","talk",14,2000,0.007
"shortages","shortag",14,2000,0.007
"prioritise","prioritis",14,2000,0.007
"exit","exit",14,2000,0.007
"mp","mp",14,2000,0.007
"stance","stanc",14,2000,0.007
"implement","implement",14,2000,0.007
"criminal","crimin",13,2000,0.0065
"pro-immigration","pro-immigr",13,2000,0.0065
"hostility","hostil",13,2000,0.0065
"crackdown","crackdown",13,2000,0.0065
"johnson","johnson",13,2000,0.0065
"repeal","repeal",13,2000,0.0065
"resident","resid",13,2000,0.0065
"party's","parti",13,2000,0.0065
"calling","call",13,2000,0.0065
"nationalist","nationalist",13,2000,0.0065
"populism","popul",12,2000,0.006
"german","german",12,2000,0.006
"topics","topic",12,2000,0.006
"tank","tank",12,2000,0.006
"arguing","argu",12,2000,0.006
"cooperation","cooper",12,2000,0.006
"arriving","arriv",12,2000,0.006
"university","univers",12,2000,0.006
