term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"immigrants","immigr",2807,10000,0.2807,-0.544245690938,1.32590952859
"anti-immigrant","anti-immigr",513,10000,0.0513,,
"eu","eu",339,10000,0.0339,2.07810352488,0.351141156708
"brexit","brexit",258,10000,0.0258,,
"uk","uk",256,10000,0.0256,2.18823319711,-0.416753971955
"trump","trump",238,10000,0.0238,-0.318704358406,-0.505957874629
"britain","britain",209,10000,0.0209,1.81943354308,0.532414747604
"illegal","illeg",197,10000,0.0197,-0.388656910974,-0.302076732903
"european","european",182,10000,0.0182,2.07580240305,0.0759358365956
"muslim","muslim",170,10000,0.017,1.19082203313,1.09514593472
"british","british",149,10000,0.0149,2.09366798994,0.044470669433
"election","elect",131,10000,0.0131,-0.732200958237,0.818062298172
"germany","germani",115,10000,0.0115,2.24745948992,0.0924398516336
"refugees","refuge",111,10000,0.0111,-0.569671135913,1.03654150479
"pen","pen",107,10000,0.0107,-0.0146546993341,-0.48968644249
"le","le",107,10000,0.0107,1.28735448337,-0.7112196938
"france","franc",105,10000,0.0105,2.17902211647,-0.118767293362
"europe","europ",105,10000,0.0105,2.3441999723,0.0828273813408
"campaign","campaign",97,10000,0.0097,-0.710082246368,-0.0983855677772
"nationals","nation",89,10000,0.0089,-0.517715591429,0.318500412485
"wilders","wilder",85,10000,0.0085,,
"far-right","far-right",82,10000,0.0082,,
"economic","econom",81,10000,0.0081,-0.575876390913,0.352636782075
"french","french",81,10000,0.0081,1.7938739739,-0.191220060758
"london","london",80,10000,0.008,2.27769302758,-0.203361939332
"netherlands","netherland",78,10000,0.0078,1.41132561224,-0.0967847142122
"undocumented","undocu",78,10000,0.0078,-0.342255129332,0.650910000961
"populist","populist",76,10000,0.0076,-0.843271592445,1.22113941367
"minister","minist",75,10000,0.0075,-0.580324499264,0.319907023402
"dutch","dutch",75,10000,0.0075,1.70862848183,-0.0974442519351
"german","german",73,10000,0.0073,2.15156071059,-0.203039139803
"leader","leader",72,10000,0.0072,-0.578511698237,-0.205878692137
"american","american",69,10000,0.0069,1.92453863117,0.0786883713697
"borders","border",64,10000,0.0064,-0.367447820079,0.341648052587
"united","unit",64,10000,0.0064,-0.274725808258,0.194926421953
"democrats","democrat",64,10000,0.0064,0.287266769477,1.45525472442
"merkel","merkel",63,10000,0.0063,,
"migrants","migrant",62,10000,0.0062,-0.514761070717,1.28565792215
"rhetoric","rhetor",60,10000,0.006,-0.804076029093,1.07520454122
"america","america",59,10000,0.0059,2.21824037337,0.232524204988
"referendum","referendum",59,10000,0.0059,-0.66793252792,0.690414936124
"children","children",58,10000,0.0058,-0.500074386432,-0.00220534546176
"freedom","freedom",57,10000,0.0057,-0.286453514254,0.436338347751
"economy","economi",55,10000,0.0055,-0.593500113722,0.487434016814
"crimes","crime",55,10000,0.0055,-0.516121404426,0.379738840794
"polls","poll",53,10000,0.0053,-0.777687375916,0.759095987759
"miller","miller",53,10000,0.0053,0.98730958411,-0.250804827723
"marine","marin",52,10000,0.0052,-0.165689345439,-0.426920209126
"ban","ban",52,10000,0.0052,-0.518229410126,-0.572848613634
"afd","afd",50,10000,0.005,,
"deported","deport",48,10000,0.0048,-0.655831144182,0.78876424456
"troublesome","troublesom",48,10000,0.0048,-0.547749870958,-0.520268561818
"nationalist","nationalist",47,10000,0.0047,-0.493655275429,1.54195749645
"conservative","conserv",47,10000,0.0047,-0.661796521075,0.706794176039
"ireland","ireland",46,10000,0.0046,2.08998906004,-0.13765273506
"migration","migrat",43,10000,0.0043,-0.209591204479,0.105201020711
"anti-muslim","anti-muslim",43,10000,0.0043,,
"crisis","crisi",43,10000,0.0043,-0.58643292514,0.351116035335
"theresa","theresa",42,10000,0.0042,0.490285199448,-0.325483346718
"country's","countri",42,10000,0.0042,0.490715727574,0.065981900589
"media","media",42,10000,0.0042,-0.331427329088,-0.113052743447
"irish","irish",41,10000,0.0041,1.62485911373,0.0483799421149
"donald","donald",40,10000,0.004,1.22614791939,-0.245770673615
"facebook","facebook",40,10000,0.004,0.730281467897,-0.00883003789609
"indian","indian",39,10000,0.0039,1.96046344112,-0.0364439432946
"macron","macron",39,10000,0.0039,0.208703697003,-0.297137264061
"students","student",38,10000,0.0038,-0.667060765396,0.108701763903
"parliament","parliament",38,10000,0.0038,-0.29528435926,0.978926225482
"philipps","philipp",38,10000,0.0038,,
"values","valu",37,10000,0.0037,-0.466745298343,0.118599170821
"racist","racist",37,10000,0.0037,-0.134121073262,0.892272411143
"hostile","hostil",37,10000,0.0037,-0.64425833828,0.0602046731024
"visa","visa",37,10000,0.0037,-0.333940386253,0.528981954354
"bloody","bloodi",36,10000,0.0036,-0.103584058965,0.0606766341806
"5,000","5,000",36,10000,0.0036,,
"accidentally","accident",35,10000,0.0035,-0.246239265532,-0.715246628485
"davids","david",35,10000,0.0035,,
"populism","popul",35,10000,0.0035,-0.51844426185,1.61830083598
"welfare","welfar",34,10000,0.0034,-0.396528670483,0.57030545373
"ukip","ukip",34,10000,0.0034,,
"tories","tori",31,10000,0.0031,1.18275981734,0.89441928632
"geert","geert",31,10000,0.0031,,
"integrated","integr",30,10000,0.003,-0.225269597751,-0.539606390122
"education","educ",30,10000,0.003,-0.405919556496,0.0834670585347
"racism","racism",30,10000,0.003,-0.418447177986,1.13176348385
"arriving","arriv",29,10000,0.0029,-0.454677167896,-0.532942125242
"terrorist","terrorist",29,10000,0.0029,-0.371681586095,0.863648849677
"independence","independ",29,10000,0.0029,-0.349665821456,0.68302898687
"nhs","nhs",28,10000,0.0028,0.9009744969,-0.206744915967
"native","nativ",27,10000,0.0027,-0.451637742946,-0.337315154
"eastern","eastern",27,10000,0.0027,-0.208433091935,-0.149335045542
"right-wing","right-w",27,10000,0.0027,-0.0294546947753,1.27816891129
"stinking","stink",27,10000,0.0027,0.280231922247,-0.171734174724
"victory","victori",27,10000,0.0027,-0.825055961488,-0.346570314756
"tax","tax",26,10000,0.0026,-0.487160966286,0.219880049998
"foreigners","foreign",26,10000,0.0026,-0.24881326882,0.662781066997
"viscount","viscount",26,10000,0.0026,0.276598329234,-0.0854543101804
"mosques","mosqu",26,10000,0.0026,-0.142597159059,0.784716206833
"supporters","support",26,10000,0.0026,-0.69849383429,0.0573152951984
"criminal","crimin",26,10000,0.0026,-0.614756778407,0.178701918619
"english","english",26,10000,0.0026,1.68452448272,0.0505461209736
"brussels","brussel",26,10000,0.0026,0.775638072076,0.065121430736
"anti","anti",25,10000,0.0025,-0.309899536549,0.0590591163284
"globalization","global",25,10000,0.0025,-0.210241737838,0.815010092735
"western","western",25,10000,0.0025,-0.21641420153,-0.126004240153
"influx","influx",25,10000,0.0025,-0.647539560412,-0.233180410484
"turkish","turkish",25,10000,0.0025,1.16449158983,0.00884410364303
"bundestag","bundestag",25,10000,0.0025,,
"islamic","islam",25,10000,0.0025,1.38491622658,0.867126227817
"terrorism","terror",25,10000,0.0025,-0.45498243056,1.13967582542
"farage","farag",24,10000,0.0024,,
"agenda","agenda",24,10000,0.0024,-0.639787572074,0.377707147338
"england","england",24,10000,0.0024,2.41167705157,0.0140814350043
"minorities","minor",24,10000,0.0024,-0.485211831405,0.81196940688
"citizenship","citizenship",24,10000,0.0024,-0.595178393201,1.04690592587
"asylum","asylum",23,10000,0.0023,-0.41602941422,1.20061007911
"jungles","jungl",23,10000,0.0023,-0.25878971501,0.111517914323
"polish","polish",22,10000,0.0022,-0.0658494128797,-0.592721411039
"turkey","turkey",22,10000,0.0022,0.0561547890276,-0.201281557502
"resentment","resent",22,10000,0.0022,-0.755358321498,0.655867489818
"anti-eu","anti-eu",22,10000,0.0022,,
"pledge","pledg",22,10000,0.0022,-0.577099883342,-0.246439322401
"gina","gina",22,10000,0.0022,1.22525863809,-0.398814793126
"allegedly","alleg",22,10000,0.0022,-0.475235254088,-0.708898357901
"coalition","coalit",22,10000,0.0022,-0.726607241355,0.623365488498
"mainstream","mainstream",22,10000,0.0022,-0.266249800686,0.298670204447
"varadkar","varadkar",21,10000,0.0021,,
"sector","sector",21,10000,0.0021,-0.330410556311,0.0423389462476
"embrace","embrac",21,10000,0.0021,-0.68474834081,-0.417911865263
"rutte","rutt",21,10000,0.0021,,
"presidential","presidenti",21,10000,0.0021,-0.549207477834,0.580829643044
"welcoming","welcom",21,10000,0.0021,-0.65563819939,-0.474525542683
"african","african",21,10000,0.0021,1.93372747347,0.14491313103
"families","famili",21,10000,0.0021,-0.633586624272,0.0313296190626
"may's","may",20,10000,0.002,0.459476222322,-0.233745191961
"australia","australia",20,10000,0.002,2.44876914075,-0.270588404042
"calling","call",20,10000,0.002,-0.298200986249,-0.638238178124
"pro-immigrant","pro-immigr",20,10000,0.002,,
"opinion","opinion",20,10000,0.002,-0.296020524063,-0.0476581981592
"focused","focus",20,10000,0.002,-0.635503507236,-0.767716436115
"italy","itali",19,10000,0.0019,2.10516117932,-0.00626196956074
"northern","northern",19,10000,0.0019,-0.358355619173,-0.317436641208
"refuse","refus",19,10000,0.0019,-0.319169792989,-0.329158991826
"mexican","mexican",19,10000,0.0019,1.93219962247,-0.105891149922
"backlash","backlash",19,10000,0.0019,-0.880339640921,0.0953226871385
"celebrating","celebr",19,10000,0.0019,-0.552973521872,-0.694229371128
"corbyn","corbyn",19,10000,0.0019,,
"jumper","jumper",19,10000,0.0019,-0.544572550533,-0.342805726073
"asian","asian",18,10000,0.0018,1.76344213919,-0.149272662976
"mexico","mexico",18,10000,0.0018,2.45145993232,-0.030980085299
"spain","spain",18,10000,0.0018,2.16757667456,-0.142996598142
"photo","photo",18,10000,0.0018,-0.184434748072,-0.557820073398
"anti-islam","anti-islam",18,10000,0.0018,,
"tweeted","tweet",18,10000,0.0018,0.416891498895,-0.615309748758
"targeting","target",17,10000,0.0017,-0.454465139408,-0.827611736827
"branding","brand",17,10000,0.0017,-0.190482834305,-0.419559408349
"contribution","contribut",17,10000,0.0017,-0.454292012874,-0.443276129093
"detention","detent",17,10000,0.0017,-0.649763216001,0.32373548196
"dreamers","dreamer",17,10000,0.0017,-0.167554425915,0.146963657698
"rhodri","rhodri",17,10000,0.0017,,
"abuse","abus",17,10000,0.0017,-0.44325709158,-0.00342738131582
"hungary","hungari",17,10000,0.0017,0.642185846384,-0.272674697738
"scientific","scientif",17,10000,0.0017,-0.198552882459,-0.137953492258
"child","child",17,10000,0.0017,-0.416239176787,0.00102577330462
"presidency","presid",17,10000,0.0017,-0.591106723403,1.05350125951
"jewish","jewish",17,10000,0.0017,1.48649328491,0.644068242361
"restricting","restrict",17,10000,0.0017,-0.418845926999,-0.792375050724
"russia","russia",17,10000,0.0017,2.05135736424,0.160835335989
"passport","passport",17,10000,0.0017,-0.330030388719,0.366937890795
"predicted","predict",17,10000,0.0017,-0.641728095625,-0.635269268255
"michael","michael",17,10000,0.0017,2.24492656431,-0.383116463392
"ethnic","ethnic",17,10000,0.0017,-0.377194742368,0.825797989571
"elites","elit",16,10000,0.0016,-0.112309117395,1.0996023967
"climate","climat",16,10000,0.0016,-0.379483177449,0.158013299952
"non-eu","non-eu",16,10000,0.0016,,
"seekers","seeker",16,10000,0.0016,-0.0464864506149,-0.000904879635545
"poland","poland",16,10000,0.0016,1.23461232733,0.0509273381255
"fuels","fuel",16,10000,0.0016,-0.448991583912,-0.371953078972
"blamed","blame",16,10000,0.0016,-0.819845888702,-0.842590303891
"post-brexit","post-brexit",16,10000,0.0016,,
"stance","stanc",16,10000,0.0016,-0.632067587458,-0.0855705245738
"mps","mps",16,10000,0.0016,0.993612204624,0.08746793129
"tolerated","toler",16,10000,0.0016,-0.424440114869,-0.0842789607401
"diverse","divers",16,10000,0.0016,-0.57165290784,-0.333204824714
"radical","radic",16,10000,0.0016,-0.540834530729,0.494533370297
"tower","tower",15,10000,0.0015,-0.409962900182,-0.53517977066
"relies","reli",15,10000,0.0015,-0.587158800247,-0.950211559275
"checks","check",15,10000,0.0015,-0.543884120957,-0.447948028913
"bbc","bbc",15,10000,0.0015,1.99115677077,0.21368908932
"surge","surg",15,10000,0.0015,-0.554937766068,-0.503198773133
