term,stem,count,sample_size,ratio
"immigrants","immigr",1843,2000,0.9215
"anti-immigrant","anti-immigr",317,2000,0.1585
"eu","eu",250,2000,0.125
"uk","uk",217,2000,0.1085
"brexit","brexit",176,2000,0.088
"britain","britain",132,2000,0.066
"european","european",126,2000,0.063
"trump","trump",117,2000,0.0585
"illegal","illeg",116,2000,0.058
"british","british",111,2000,0.0555
"muslim","muslim",95,2000,0.0475
"europe","europ",87,2000,0.0435
"economic","econom",76,2000,0.038
"election","elect",67,2000,0.0335
"campaign","campaign",65,2000,0.0325
"referendum","referendum",61,2000,0.0305
"france","franc",59,2000,0.0295
"le","le",59,2000,0.0295
"london","london",59,2000,0.0295
"pen","pen",57,2000,0.0285
"germany","germani",56,2000,0.028
"nationals","nation",54,2000,0.027
"refugees","refuge",52,2000,0.026
"economy","economi",47,2000,0.0235
"populist","populist",46,2000,0.023
"american","american",46,2000,0.023
"far-right","far-right",46,2000,0.023
"french","french",45,2000,0.0225
"minister","minist",41,2000,0.0205
"children","children",41,2000,0.0205
"borders","border",40,2000,0.02
"united","unit",40,2000,0.02
"wilders","wilder",39,2000,0.0195
"undocumented","undocu",39,2000,0.0195
"german","german",39,2000,0.0195
"migrants","migrant",38,2000,0.019
"migration","migrat",37,2000,0.0185
"conservative","conserv",36,2000,0.018
"america","america",36,2000,0.018
"rhetoric","rhetor",34,2000,0.017
"ukip","ukip",34,2000,0.017
"nationalist","nationalist",33,2000,0.0165
"democratic","democrat",32,2000,0.016
"dutch","dutch",32,2000,0.016
"crimes","crime",31,2000,0.0155
"netherlands","netherland",31,2000,0.0155
"marine","marin",29,2000,0.0145
"education","educ",29,2000,0.0145
"leader","leader",29,2000,0.0145
"freedom","freedom",29,2000,0.0145
"ban","ban",28,2000,0.014
"perceived","perceiv",27,2000,0.0135
"populism","popul",27,2000,0.0135
"supporters","support",27,2000,0.0135
"crisis","crisi",27,2000,0.0135
"racism","racism",27,2000,0.0135
"afd","afd",26,2000,0.013
"polls","poll",26,2000,0.013
"independence","independ",26,2000,0.013
"merkel's","merkel",26,2000,0.013
"deported","deport",25,2000,0.0125
"donald","donald",25,2000,0.0125
"nhs","nhs",25,2000,0.0125
"minorities","minor",24,2000,0.012
"hostility","hostil",24,2000,0.012
"media","media",23,2000,0.0115
"values","valu",23,2000,0.0115
"tories","tori",22,2000,0.011
"native","nativ",22,2000,0.011
"theresa","theresa",22,2000,0.011
"welfare","welfar",21,2000,0.0105
"tax","tax",21,2000,0.0105
"students","student",21,2000,0.0105
"racist","racist",21,2000,0.0105
"parliament","parliament",21,2000,0.0105
"macron","macron",21,2000,0.0105
"philipps","philipp",20,2000,0.01
"dominance","domin",20,2000,0.01
"troublesome","troublesom",20,2000,0.01
"farage","farag",19,2000,0.0095
"narcissism","narciss",19,2000,0.0095
"western","western",19,2000,0.0095
"authoritarianism","authoritarian",19,2000,0.0095
"sector","sector",18,2000,0.009
"ethnic","ethnic",18,2000,0.009
"davids","david",18,2000,0.009
"facebook","facebook",18,2000,0.009
"prejudice","prejudic",18,2000,0.009
"foreigners","foreign",18,2000,0.009
"influx","influx",18,2000,0.009
"country's","countri",18,2000,0.009
"visa","visa",18,2000,0.009
"african","african",18,2000,0.009
"asylum","asylum",17,2000,0.0085
"bloody","bloodi",17,2000,0.0085
"miller","miller",17,2000,0.0085
"5,000","5,000",17,2000,0.0085
"brussels","brussel",17,2000,0.0085
"orientation","orient",17,2000,0.0085
"predicted","predict",17,2000,0.0085
"terrorism","terror",17,2000,0.0085
"eastern","eastern",17,2000,0.0085
"families","famili",17,2000,0.0085
"unemployment","unemploy",17,2000,0.0085
"anti-muslim","anti-muslim",17,2000,0.0085
"integrate","integr",16,2000,0.008
"english","english",16,2000,0.008
"accidentally","accident",16,2000,0.008
"elites","elit",16,2000,0.008
"right-wing","right-w",15,2000,0.0075
"irish","irish",15,2000,0.0075
"celebrate","celebr",15,2000,0.0075
"england","england",15,2000,0.0075
"ireland","ireland",15,2000,0.0075
