term,stem,count,sample_size,ratio
"economy","economi",2036,2000,1.018
"brexit","brexit",413,2000,0.2065
"uk","uk",391,2000,0.1955
"britain's","britain",211,2000,0.1055
"eu","eu",206,2000,0.103
"economic","econom",138,2000,0.069
"british","british",137,2000,0.0685
"european","european",133,2000,0.0665
"global","global",101,2000,0.0505
"sector","sector",86,2000,0.043
"minister","minist",83,2000,0.0415
"europe","europ",82,2000,0.041
"inflation","inflat",75,2000,0.0375
"forecasts","forecast",59,2000,0.0295
"london","london",56,2000,0.028
"dialogos","dialogo",56,2000,0.028
"immigration","immigr",54,2000,0.027
"boost","boost",54,2000,0.027
"tax","tax",54,2000,0.027
"crisis","crisi",53,2000,0.0265
"england","england",52,2000,0.026
"uncertainty","uncertainti",50,2000,0.025
"election","elect",45,2000,0.0225
"euro","euro",43,2000,0.0215
"greece","greec",43,2000,0.0215
"referendum","referendum",42,2000,0.021
"greek","greek",39,2000,0.0195
"economists","economist",39,2000,0.0195
"world's","world",38,2000,0.019
"reuters","reuter",37,2000,0.0185
"hammond","hammond",36,2000,0.018
"gdp","gdp",36,2000,0.018
"german","german",34,2000,0.017
"trump","trump",34,2000,0.017
"slowing","slow",32,2000,0.016
"debt","debt",32,2000,0.016
"tories","tori",31,2000,0.0155
"germany","germani",31,2000,0.0155
"exports","export",30,2000,0.015
"eurozone","eurozon",29,2000,0.0145
"monetary","monetari",29,2000,0.0145
"ireland","ireland",29,2000,0.0145
"united","unit",28,2000,0.014
"damaging","damag",27,2000,0.0135
"macron","macron",27,2000,0.0135
"china","china",26,2000,0.013
"investors","investor",25,2000,0.0125
"predicted","predict",25,2000,0.0125
"hellenic","hellen",25,2000,0.0125
"momentum","momentum",25,2000,0.0125
"strength","strength",25,2000,0.0125
"faster","faster",24,2000,0.012
"chancellor","chancellor",24,2000,0.012
"theresa","theresa",24,2000,0.012
"campaign","campaign",24,2000,0.012
"conservative","conserv",23,2000,0.0115
"french","french",23,2000,0.0115
"austerity","auster",23,2000,0.0115
"deliver","deliv",23,2000,0.0115
"invest","invest",23,2000,0.0115
"imf","imf",23,2000,0.0115
"country's","countri",22,2000,0.011
"corbyn","corbyn",22,2000,0.011
